trade_idx,split_00,split_01,split_02,split_03,split_04,split_05,split_06,split_07,split_08,split_09,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44
18,173.9400,113.9400,173.9400,173.9400,238.9400,48.9400,-208.5600,173.9400,141.4400,126.4400,-182.3100,-182.3100,62.6900,-182.3100,-2.3100,320.1900,191.4400,-868.5600,243.9400,23.9400,-8.5600,983.9400,23.9400,-8.5600,147.6900,252.6900,27.6900,280.1900,320.1900,245.1900,183.3150,183.3150,-30.4350,270.8150,270.8150,-477.9350,-477.9350,-231.6850,-345.4350,1185.1900,-954.8100,-954.8100,98.3150,-49.1850,-3.5600
19,195.2000,102.7000,195.2000,195.2000,260.2000,37.7000,-219.8000,195.2000,162.7000,115.2000,-193.5500,-193.5500,51.4500,-193.5500,-13.5500,308.9500,180.2000,-879.8000,232.7000,45.2000,-19.8000,1005.2000,12.7000,12.7000,165.2000,270.2000,45.2000,297.7000,337.7000,262.7000,172.0750,172.0750,-9.1750,292.0750,292.0750,-489.1750,-489.1750,-242.9250,-356.6750,1390.2000,-749.8000,-749.8000,119.5750,-60.4250,78.9500
20,216.4600,123.9600,216.4600,216.4600,281.4600,58.9600,-231.0400,216.4600,183.9600,129.5850,-179.1650,-179.1650,65.8350,-179.1650,0.8350,323.3350,194.5850,-1054.7900,57.7100,-129.7900,150.2100,1175.2100,-162.2900,-162.2900,186.4600,258.9600,66.4600,286.4600,358.9600,283.9600,102.0850,102.0850,55.8350,357.0850,357.0850,-467.9150,-467.9150,-221.6650,-335.4150,1586.4600,-553.5400,-553.5400,108.3350,110.2100,100.2100
21,205.2200,112.7200,205.2200,205.2200,302.7200,47.7200,-209.7800,205.2200,172.7200,145.8450,-162.9050,-162.9050,82.0950,-162.9050,17.0950,339.5950,210.8450,-1226.6550,224.5950,37.0950,317.0950,1342.0950,4.5950,4.5950,207.7200,280.2200,87.7200,307.7200,380.2200,305.2200,90.8450,90.8450,77.0950,378.3450,378.3450,-464.1550,-464.1550,-217.9050,-331.6550,1790.2200,-349.7800,-349.7800,278.9700,131.4700,121.4700
22,193.9800,133.9800,193.9800,193.9800,323.9800,68.9800,-188.5200,193.9800,161.4800,167.1050,-141.6450,-141.6450,103.3550,-141.6450,38.3550,328.3550,232.1050,-1205.3950,245.8550,25.8550,305.8550,1330.8550,-6.6450,-6.6450,196.4800,301.4800,76.4800,328.9800,401.4800,326.4800,27.1050,27.1050,135.8550,314.6050,314.6050,-472.2700,-472.2700,-226.0200,-339.7700,1811.4800,-361.0200,-328.5200,300.2300,152.7300,142.7300
23,247.7400,75.2400,247.7400,247.7400,265.2400,10.2400,-247.2600,247.7400,215.2400,139.6150,-119.1350,-119.1350,125.8650,-119.1350,60.8650,300.8650,204.6150,-1421.0100,456.4900,236.4900,516.4900,1541.4900,203.9900,203.9900,185.2400,290.2400,65.2400,317.7400,390.2400,315.2400,-20.3850,69.6150,178.3650,357.1150,357.1150,-496.0100,-496.0100,-249.7600,-363.5100,1832.7400,-339.7600,-307.2600,321.4900,277.7400,163.9900
24,314.0000,141.5000,314.0000,314.0000,331.5000,76.5000,-318.5000,314.0000,281.5000,160.8750,-97.8750,-97.8750,147.1250,-97.8750,82.1250,289.6250,193.3750,-1399.7500,445.2500,257.7500,505.2500,1530.2500,192.7500,192.7500,161.5000,309.0000,84.0000,336.5000,409.0000,334.0000,0.8750,90.8750,199.6250,378.3750,345.8750,-517.2500,-517.2500,-271.0000,-384.7500,1854.0000,-318.5000,-286.0000,446.5000,266.5000,185.2500
25,335.2600,130.2600,335.2600,335.2600,320.2600,65.2600,-329.7400,335.2600,302.7600,149.6350,-76.6150,-76.6150,168.3850,-76.6150,103.3850,278.3850,182.1350,-1645.9900,686.5100,11.5100,746.5100,1771.5100,434.0100,434.0100,167.1350,314.6350,73.3850,342.1350,414.6350,339.6350,-55.9900,34.0100,251.5100,430.2600,397.7600,-495.9900,-528.4900,-249.7400,-363.4900,1875.2600,-297.2400,-264.7400,435.2600,474.0100,229.0100
26,381.5200,79.0200,381.5200,284.0200,269.0200,14.0200,-380.9800,381.5200,349.0200,138.3950,-55.3550,-55.3550,157.1450,-55.3550,124.6450,267.1450,170.8950,-1624.7300,675.2700,32.7700,735.2700,1760.2700,422.7700,422.7700,155.8950,303.3950,62.1450,330.8950,435.8950,328.3950,-67.2300,22.7700,240.2700,419.0200,386.5200,-474.7300,-507.2300,-228.4800,-342.2300,1980.8950,-191.6050,-159.1050,642.7700,695.2700,217.7700
27,402.7800,67.7800,402.7800,272.7800,257.7800,2.7800,-392.2200,370.2800,337.7800,159.6550,-66.5950,-66.5950,178.4050,-66.5950,113.4050,288.4050,192.1550,-1635.9700,696.5300,21.5300,756.5300,1781.5300,444.0300,444.0300,115.9050,338.4050,22.1550,290.9050,395.9050,288.4050,11.5300,101.5300,319.0300,497.7800,465.2800,-485.9700,-485.9700,-239.7200,-353.4700,2002.1550,-170.3450,-137.8450,864.0300,684.0300,239.0300
28,435.2900,100.2900,435.2900,235.2900,220.2900,-34.7100,-429.7100,332.7900,300.2900,105.2900,-120.9600,-120.9600,124.0400,-120.9600,59.0400,337.7900,241.5400,-1647.2100,717.7900,10.2900,777.7900,1802.7900,465.2900,465.2900,82.1650,304.6650,-11.5850,257.1650,424.6650,317.1650,-63.4600,26.5400,389.0400,567.7900,535.2900,-497.2100,-464.7100,-250.9600,-364.7100,2023.4150,-149.0850,-116.5850,852.7900,931.5400,227.7900
29,466.5500,64.0500,466.5500,199.0500,184.0500,-70.9500,-465.9500,296.5500,264.0500,56.5500,-169.7000,-169.7000,75.3000,-169.7000,10.3000,381.5500,285.3000,-1882.8250,948.4250,-225.3250,1008.4250,2033.4250,695.9250,695.9250,69.6750,292.1750,-24.0750,244.6750,412.1750,304.6750,-42.2000,47.8000,377.8000,556.5500,524.0500,-503.4500,-463.4500,-249.7000,-363.4500,2085.9250,-86.5750,-54.0750,1100.3000,952.8000,227.8000
30,487.8100,85.3100,487.8100,187.8100,205.3100,-82.1900,-477.1900,285.3100,252.8100,77.8100,-148.4400,-148.4400,96.5600,-148.4400,31.5600,370.3100,274.0600,-1894.0650,969.6850,-236.5650,1029.6850,2054.6850,717.1850,717.1850,38.4350,260.9350,2.1850,213.4350,438.4350,330.9350,53.4350,143.4350,473.4350,652.1850,619.6850,-524.0650,-447.8150,-234.0650,-347.8150,2127.1850,-45.3150,-100.3150,1121.5600,1182.8100,249.0600
31,485.3200,82.8200,485.3200,185.3200,202.8200,-84.6800,-479.6800,282.8200,250.3200,66.5700,-159.6800,-159.6800,85.3200,-159.6800,20.3200,391.5700,295.3200,-1905.3050,990.9450,-215.3050,1050.9450,2075.9450,738.4450,738.4450,27.1950,249.6950,23.4450,234.6950,427.1950,352.1950,-21.5550,68.4450,543.4450,577.1950,544.6950,-554.6800,-422.1800,-208.4300,-322.1800,2148.4450,-56.5550,-111.5550,1351.5700,1435.3200,260.3200
32,506.5800,104.0800,506.5800,206.5800,224.0800,-63.4200,-490.9200,271.5800,239.0800,-19.6700,-245.9200,-245.9200,-0.9200,-245.9200,-65.9200,305.3300,209.0800,-2119.6700,1200.3300,-429.6700,836.5800,2285.3300,947.8300,947.8300,84.7050,307.2050,80.9550,292.2050,484.7050,409.7050,-0.2950,57.2050,532.2050,565.9550,533.4550,-638.4200,-505.9200,-292.1700,-405.9200,2169.7050,-35.2950,-90.2950,1604.0800,1456.5800,226.5800
33,527.8400,125.3400,527.8400,227.8400,245.3400,-42.1600,-502.1600,260.3400,227.8400,1.5900,-224.6600,-224.6600,20.3400,-224.6600,-44.6600,294.0900,230.3400,-2242.1600,1405.3400,-224.6600,1041.5900,2490.3400,1152.8400,1152.8400,105.9650,328.4650,102.2150,313.4650,505.9650,430.9650,99.7150,157.2150,632.2150,665.9650,633.4650,-592.1600,-459.6600,-245.9100,-359.6600,2190.9650,-14.0350,-69.0350,1625.3400,1477.8400,215.3400
34,516.6000,114.1000,516.6000,216.6000,234.1000,-53.4000,-480.9000,281.6000,249.1000,22.8500,-235.9000,-235.9000,9.1000,-235.9000,-55.9000,315.3500,251.6000,-2220.9000,1394.1000,-235.9000,1030.3500,2479.1000,1141.6000,1141.6000,127.2250,349.7250,123.4750,334.7250,527.2250,452.2250,120.9750,145.9750,620.9750,654.7250,622.2250,-523.4000,-390.9000,-177.1500,-290.9000,2182.2250,-22.7750,-77.7750,1646.6000,1466.6000,202.8500
35,505.3600,102.8600,505.3600,205.3600,222.8600,-64.6400,-459.6400,302.8600,270.3600,11.6100,-247.1400,-247.1400,-2.1400,-247.1400,-67.1400,304.1100,240.3600,-2355.8900,1415.3600,-247.1400,1019.1100,2500.3600,1162.8600,1162.8600,148.4850,370.9850,144.7350,355.9850,548.4850,473.4850,109.7350,134.7350,609.7350,643.4850,610.9850,-502.1400,-369.6400,-155.8900,-269.6400,2157.2350,-47.7650,-102.7650,1635.3600,1701.6100,224.1100
36,461.6200,59.1200,461.6200,161.6200,179.1200,-108.3800,-420.8800,259.1200,309.1200,0.3700,-258.3800,-258.3800,-13.3800,-258.3800,-78.3800,292.8700,229.1200,-2482.1300,1404.1200,-225.8800,1040.3700,2489.1200,1184.1200,1151.6200,169.7450,392.2450,165.9950,377.2450,569.7450,462.2450,245.9950,270.9950,745.9950,779.7450,747.2450,-513.3800,-380.8800,-167.1300,-280.8800,2158.4950,-46.5050,-101.5050,1870.3700,1944.7450,245.3700
37,482.8800,80.3800,482.8800,182.8800,200.3800,-87.1200,-432.1200,247.8800,297.8800,-10.8700,-269.6200,-269.6200,-24.6200,-269.6200,-89.6200,281.6300,217.8800,-2493.3700,1425.3800,-204.6200,1061.6300,2510.3800,1205.3800,1172.8800,137.2550,359.7550,133.5050,344.7550,537.2550,429.7550,102.2550,127.2550,884.7550,636.0050,886.0050,-492.1200,-359.6200,-145.8700,-292.1200,2163.5050,-41.4950,-96.4950,2113.5050,1966.0050,289.7550
38,504.1400,101.6400,504.1400,204.1400,221.6400,-65.8600,-443.3600,236.6400,286.6400,-83.3600,-342.1100,-342.1100,-97.1100,-342.1100,-162.1100,209.1400,145.3900,-2570.8600,1446.6400,-215.8600,1050.3900,2531.6400,1226.6400,1194.1400,109.7650,332.2650,106.0150,317.2650,559.7650,402.2650,-35.8600,260.3900,1017.8900,769.1400,1019.1400,-527.1100,-394.6100,-180.8600,-327.1100,2184.7650,-20.2350,-75.2350,2134.7650,2237.2650,332.2650
39,492.9000,122.9000,492.9000,225.4000,242.9000,-44.6000,-422.1000,257.9000,307.9000,-62.1000,-320.8500,-320.8500,-75.8500,-320.8500,-140.8500,230.4000,166.6500,-2549.6000,1649.1500,-13.3500,1252.9000,2734.1500,1429.1500,1396.6500,98.5250,321.0250,94.7750,306.0250,548.5250,391.0250,-154.6000,141.6500,1131.6500,882.9000,1132.9000,-538.3500,-405.8500,-159.6000,-305.8500,2206.0250,1.0250,-53.9750,2406.0250,2226.0250,353.5250
40,481.6600,111.6600,481.6600,214.1600,231.6600,-55.8400,-400.8400,279.1600,329.1600,-40.8400,-332.0900,-332.0900,-54.5900,-332.0900,-152.0900,251.6600,155.4100,-2560.8400,1637.9100,7.9100,1274.1600,2722.9100,1450.4100,1417.9100,119.7850,342.2850,116.0350,294.7850,569.7850,412.2850,-133.3400,162.9100,1120.4100,904.1600,1154.1600,-535.2150,-402.7150,-156.4650,-313.9650,2227.2850,22.2850,-32.7150,2394.7850,2214.7850,374.7850
41,441.6700,146.6700,441.6700,174.1700,266.6700,-95.8300,-365.8300,314.1700,364.1700,-52.0800,-343.3300,-343.3300,-65.8300,-343.3300,-163.3300,272.9200,144.1700,-2572.0800,1659.1700,29.1700,1295.4200,2744.1700,1471.6700,1439.1700,56.0450,278.5450,52.2950,231.0450,506.0450,348.5450,-144.5800,184.1700,1109.1700,892.9200,1142.9200,-513.9550,-381.4550,-135.2050,-292.7050,2248.5450,43.5450,-11.4550,2383.5450,2548.5450,467.2950
42,410.4300,115.4300,410.4300,142.9300,235.4300,-127.0700,-339.5700,340.4300,390.4300,-101.4450,-392.6950,-392.6950,-115.1950,-392.6950,-212.6950,223.5550,94.8050,-2583.3200,1680.4300,50.4300,1316.6800,2765.4300,1492.9300,1460.4300,44.8050,267.3050,73.5550,219.8050,527.3050,337.3050,-123.3200,172.9300,1130.4300,914.1800,1164.1800,-525.1950,-392.6950,-146.4450,-271.4450,2227.3050,22.3050,-32.6950,2717.3050,2569.8050,378.5550
43,431.6900,104.1900,431.6900,131.6900,224.1900,-105.8100,-350.8100,329.1900,379.1900,-80.1850,-371.4350,-371.4350,-93.9350,-371.4350,-191.4350,244.8150,116.0650,-2594.5600,1701.6900,39.1900,1305.4400,2786.6900,1481.6900,1481.6900,66.0650,288.5650,94.8150,241.0650,548.5650,358.5650,-134.5600,161.6900,1119.1900,902.9400,1152.9400,-503.9350,-371.4350,-125.1850,-250.1850,2193.5650,-11.4350,-66.4350,2738.5650,2591.0650,399.8150
44,375.4500,47.9500,375.4500,75.4500,167.9500,-162.0500,-299.5500,380.4500,430.4500,-148.9250,-440.1750,-440.1750,-162.6750,-440.1750,-260.1750,176.0750,47.3250,-2605.8000,1722.9500,27.9500,1294.2000,2807.9500,1502.9500,1502.9500,57.9500,280.4500,97.9500,232.9500,551.7000,361.7000,-302.0500,-5.8000,951.7000,735.4500,985.4500,-482.6750,-350.1750,-136.4250,-261.4250,2182.3250,9.8250,-45.1750,2759.8250,2612.3250,456.7000
45,310.4600,-17.0400,310.4600,10.4600,102.9600,-227.0400,-239.5400,315.4600,365.4600,-160.1650,-451.4150,-451.4150,-173.9150,-451.4150,-271.4150,164.8350,36.0850,-2617.0400,1924.2100,-178.2900,1087.9600,3009.2100,1704.2100,1704.2100,26.7100,249.2100,66.7100,259.2100,520.4600,330.4600,-129.5400,166.7100,1124.2100,907.9600,1157.9600,-487.6650,-350.1650,-136.4150,-261.4150,2171.0850,-1.4150,-56.4150,2781.0850,2633.5850,477.9600
46,331.7200,4.2200,331.7200,31.7200,124.2200,-205.7800,-250.7800,304.2200,354.2200,-182.6550,-473.9050,-473.9050,-196.4050,-473.9050,-293.9050,142.3450,13.5950,-2673.2800,2061.7200,-320.7800,945.4700,3146.7200,1561.7200,1841.7200,47.9700,270.4700,87.9700,247.9700,541.7200,351.7200,-108.2800,187.9700,1112.9700,896.7200,1146.7200,-517.6550,-380.1550,-111.4050,-236.4050,2097.3450,-75.1550,-130.1550,2802.3450,2841.0950,512.9700
47,320.4800,-7.0200,320.4800,52.9800,145.4800,-217.0200,-229.5200,325.4800,375.4800,-183.2700,-474.5200,-474.5200,-197.0200,-474.5200,-294.5200,141.7300,12.9800,-2720.1450,2082.9800,-332.0200,934.2300,3167.9800,1582.9800,1862.9800,69.2300,291.7300,109.2300,236.7300,562.9800,372.9800,-87.0200,209.2300,1134.2300,917.9800,1167.9800,-528.8950,-358.8950,-90.1450,-215.1450,2086.1050,-86.3950,-141.3950,3009.8550,3058.6050,527.9800
48,267.9900,-59.5100,267.9900,0.4900,92.9900,-269.5100,-182.0100,372.9900,422.9900,-162.0100,-453.2600,-453.2600,-175.7600,-453.2600,-273.2600,162.9900,34.2400,-2760.1350,2175.4900,-239.5100,1026.7400,3260.4900,1675.4900,1955.4900,130.4900,352.9900,170.4900,297.9900,624.2400,434.2400,105.4900,401.7400,1326.7400,1110.4900,1360.4900,-561.3850,-391.3850,-62.6350,-187.6350,2036.1150,-136.3850,-191.3850,3227.3650,3079.8650,549.2400
49,226.7500,-100.7500,226.7500,-40.7500,51.7500,-310.7500,-145.7500,409.2500,459.2500,-169.5000,-450.7500,-450.7500,-173.2500,-450.7500,-270.7500,155.5000,26.7500,-2738.8750,2164.2500,-218.2500,1048.0000,3249.2500,1696.7500,1944.2500,64.2500,414.2500,231.7500,359.2500,685.5000,495.5000,94.2500,390.5000,1315.5000,1099.2500,1381.7500,-617.6250,-447.6250,-11.3750,-136.3750,2001.7500,-170.7500,-225.7500,3248.6250,3101.1250,570.5000
50,248.0100,-79.4900,215.5100,-19.4900,73.0100,-289.4900,-124.4900,430.5100,480.5100,-148.2400,-429.4900,-429.4900,-151.9900,-429.4900,-249.4900,176.7600,48.0100,-2717.6150,2249.2600,-308.2400,958.0100,3334.2600,1781.7600,2029.2600,85.5100,435.5100,220.5100,348.0100,706.7600,484.2600,115.5100,411.7600,1304.2600,1088.0100,1403.0100,-685.1150,-515.1150,51.1350,-73.8650,2023.0100,-149.4900,-204.4900,3269.8850,3279.8850,591.7600
51,269.2700,-58.2300,204.2700,1.7700,94.2700,-268.2300,-103.2300,451.7700,501.7700,-159.4800,-440.7300,-440.7300,-163.2300,-440.7300,-260.7300,165.5200,36.7700,-2728.8550,2238.0200,-286.9800,979.2700,3323.0200,1803.0200,2050.5200,9.2700,359.2700,144.2700,419.2700,630.5200,408.0200,136.7700,433.0200,1293.0200,1076.7700,1424.2700,-696.3550,-493.8550,72.3950,-52.6050,2044.2700,-128.2300,-183.2300,3448.6450,3301.1450,606.7700
52,269.2800,-58.2200,204.2800,1.7800,89.2800,-268.2200,-103.2200,451.7800,501.7800,-180.0950,-461.3450,-461.3450,-183.8450,-461.3450,-281.3450,144.9050,16.1550,-2781.3450,2259.2800,-265.7200,1000.5300,3344.2800,1824.2800,2071.7800,-1.9700,348.0300,133.0300,408.0300,619.2800,396.7800,125.5300,421.7800,1281.7800,1065.5300,1413.0300,-768.8450,-566.3450,-0.0950,-125.0950,1970.5300,-201.9700,-256.9700,3469.9050,3322.4050,613.0300
53,285.5400,-79.4600,220.5400,18.0400,105.5400,-251.9600,-86.9600,468.0400,518.0400,-191.3350,-472.5850,-472.5850,-195.0850,-472.5850,-292.5850,133.6650,4.9150,-2760.0850,2280.5400,-276.9600,989.2900,3365.5400,1845.5400,2093.0400,-13.2100,369.2900,121.7900,429.2900,640.5400,418.0400,146.7900,443.0400,1303.0400,1086.7900,1434.2900,-851.3350,-648.8350,-82.5850,-207.5850,1991.7900,-180.7100,-235.7100,3491.1650,3459.2900,606.7900
